id,group_id,group_size,iter_detected,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,removed_from_ensemble,date-obs,AMASS,inst_mag,exposure,ra_fit,dec_fit,match_id,label,match_ra,match_dec,match_mag,check_star,vsx_id,RAJ2000,DEJ2000,separation
40,40,1,1,0.7450408935546875,579.0708726664402,29.00089217652496,3605.541010152228,579.2546088451306,29.044678011525075,4394.94588774335,0.0696041751689899,0.0481105689611989,138.9720459437928,25,0.1358384331569306,0.0108899418403518,8,False,2459934.736427199,1.14942996252,-4.221777557008565,90.0,88.18241634795469,15.989518881097835,,%,,,,False,%,,,
41,41,1,1,1.609161376953125,355.8837281005323,29.61442811665883,23452.50535946507,355.9386308487712,29.56428410079234,28050.492167521064,0.0500289214725876,0.0345288749581679,641.0201425352127,25,0.0887309992729361,0.0040009439741301,0,False,2459934.736427199,1.14942996252,-6.234244940628431,90.0,88.27599181753183,15.988554307797864,,%,,,,False,%,,,
42,42,1,1,1.8263397216796875,254.77902528423,30.682656548592213,1668.1059299344888,254.8365293352115,30.680222404994485,1984.0869188163929,0.1209157791596287,0.087304686942213,112.65560710905444,25,0.218240756816251,0.022916689903376,8,False,2459934.736427199,1.14942996252,-3.35829546088595,90.0,88.31835254479532,15.987749575145411,,%,,,,False,%,,,
43,43,1,1,1.85137939453125,1302.203643713601,31.055106519658345,3404.8803881429376,1302.508800176416,31.161855956341476,3941.4900036451727,0.0520499467844899,0.0445058261051622,104.27252440376228,25,0.0989460836849956,0.0049182134969995,0,False,2459934.736427199,1.14942996252,-4.103544800022632,90.0,87.87933630049521,15.990834418019803,,%,,,,False,%,,,
44,44,1,1,-0.321807861328125,1432.999381046188,30.721752263845424,2149.408395723221,1433.1035933503326,30.693147873930936,2614.136344762712,0.082877661812048,0.0592702383383285,101.11195987203708,25,0.1495249186651363,0.0074408145626986,8,False,2459934.736427199,1.14942996252,-3.657714314422965,90.0,87.82461317325624,15.99136948145211,,%,,,,False,%,,,
45,45,1,1,0.514801025390625,1465.132127696843,30.84171908581185,1352.3016145070492,1465.0852856236652,30.889767481270404,1352.301780029254,1.207445068018596,0.847853067667513,793.6331447908059,25,1.1528592916154847,0.5442466893491721,8,False,2459934.736427199,1.14942996252,-2.9420777756385794,90.0,87.81121107551776,15.9913729725612,,%,,,,False,%,,,
46,46,1,1,-0.80975341796875,398.2892519745764,32.075631410265835,1209.5649213576344,398.8294069767412,32.22417208606828,1969.0507229827424,0.6240905479716577,0.4770922435493656,567.3389490836485,25,0.8293483224190554,0.2236907209453803,8,False,2459934.736427199,1.14942996252,-3.3500359858020583,90.0,88.25800967905474,15.98763112743309,,%,,,,False,%,,,
47,47,1,1,6.4298248291015625,610.9350639861023,32.91605408531276,3782.1579322234174,610.9909080819465,32.87195215597312,4278.830498447032,0.0619858534043353,0.0432824676423227,128.9760645646456,25,0.1039539914968382,-0.0023304845527018,0,False,2459934.736427199,1.14942996252,-4.192706433119131,90.0,88.16910461506565,15.98808132844927,,%,,,,False,%,,,
48,48,1,1,1.1236572265625,8.960925978428568,33.64947959964144,2669.7097371070977,9.03965350484366,33.636651453521615,3221.641175230832,0.0746247472868315,0.0518745685779724,109.77034366398983,25,0.1302656154616315,0.0014787778809325,8,False,2459934.736427199,1.14942996252,-3.8845866445928143,90.0,88.421335509981,15.98566052973761,,%,,,,False,%,,,
49,49,1,1,2.285400390625,93.6231417501122,33.6675958694978,2232.3459990742067,93.4805412897513,33.60230105725942,2616.1764550800763,0.0804173344143671,0.0614000477453049,103.12612170573658,25,0.1471952710007864,0.0175368340400288,0,False,2459934.736427199,1.14942996252,-3.658561308409887,90.0,88.3859534825273,15.985988467221686,,%,,,,False,%,,,
50,50,1,1,-1.552520751953125,732.2378047969763,34.2234245905554,11519.73369711358,732.5611721695093,34.328425729495954,13703.731289154928,0.0360646365106965,0.0294707234237689,254.87928196222936,25,0.0720689286731583,0.0043396435694959,8,False,2459934.736427199,1.14942996252,-5.456490811748221,90.0,88.11815738326123,15.987885686055241,,%,,,,False,%,,,
51,51,1,1,-0.96356201171875,182.1015625545428,36.23149516031329,1644.72590556777,182.2293426386049,36.27358975139207,2052.680075055357,0.1096842854473525,0.0835548825259725,103.3589169660374,25,0.1983069928881842,0.0202269155997564,8,False,2459934.736427199,1.14942996252,-3.3951968932219256,90.0,88.34875587494773,15.985236396307716,,%,,,,False,%,,,
52,52,1,1,0.3515777587890625,1490.993684437308,36.10182300222702,3391.822237502137,1491.1415859077963,36.21463146058572,3818.917879228928,0.0513544240819227,0.0389150541709745,90.14640317220945,25,0.0936606109827798,0.0025653796621616,0,False,2459934.736427199,1.14942996252,-4.069244525266912,90.0,87.8002783226434,15.989294901091172,,%,,,,False,%,,,
53,53,1,1,1.04180908203125,1085.280975813297,38.33499122947772,5811.362199604581,1085.5973153480818,38.47407850980916,6916.944409312057,0.0373097810253952,0.0286052980042146,130.5928168254001,25,0.0783609264510389,0.0029755758284644,0,False,2459934.736427199,1.14942996252,-4.714179439696252,90.0,87.9702092425797,15.987283348506992,,%,,,,False,%,,,
54,54,1,1,-1.881805419921875,127.05311804098604,40.36879651004181,3721.544112406906,127.16443011835057,40.432841444444975,4272.409959228543,0.0708850949859915,0.0512510154713776,140.59714236359142,25,0.1297622747315119,0.0047095465158545,0,False,2459934.736427199,1.14942996252,-4.191076023302438,90.0,88.3718133278289,15.983360895428648,,%,,,,False,%,,,
55,55,1,1,-0.1872406005859375,1488.671332744982,40.08494378219218,3614.177210409232,1488.705510573974,40.09513890403117,3987.5888196112073,0.0553997622876651,0.0417527489072813,109.91172393450935,25,0.1057010458791986,-0.0020035788099111,0,False,2459934.736427199,1.14942996252,-4.116169650538093,90.0,87.8012887857672,15.98772563566356,,%,,,,False,%,,,
56,56,1,1,-1.802093505859375,1396.29298156573,41.09661831278846,5478.421237983742,1396.6981772976835,41.23316119453936,6451.181722852238,0.0431348803277273,0.0354664064172888,135.6616599102616,25,0.0741086671896265,0.0068232878787869,0,False,2459934.736427199,1.14942996252,-4.638491915588986,90.0,87.83983959834679,15.98702887650192,,%,,,,False,%,,,
57,57,1,1,8.696624755859375,617.1433061992599,42.11531488552855,217083.78458580768,617.3847318415113,42.19419229107349,257810.94528183597,0.0447193380513597,0.0344822674251254,5186.914940526623,25,0.0846693187322738,0.0072851329081166,8,False,2459934.736427199,1.14942996252,-8.642647104509532,90.0,88.1663937717339,15.984347244875087,,%,,,,False,%,,,
58,58,1,1,1.0152587890625,1139.0574879531457,41.962194298643794,247.16093710864132,1139.0358713153375,41.96421047826173,247.1615365303573,1.364620901869709,0.9909250117533832,171.99766087418482,25,1.707455869451785,0.5920834109022636,8,False,2459934.736427199,1.14942996252,-1.096845942480701,90.0,87.94780627070546,15.986030309771762,,%,,,,False,%,,,
59,59,1,1,-0.836334228515625,925.862958040492,42.68789384280743,4822.917834383161,925.8996212323516,42.64432128232204,5920.381435073236,0.0495837407739587,0.0341323689537599,132.6198051810484,25,0.09264782451427,0.0068806995669055,0,False,2459934.736427199,1.14942996252,-4.545267946676482,90.0,88.03711519659238,15.985133221581869,,%,,,,False,%,,,
60,60,1,1,-1.164031982421875,1033.9335350930662,42.98644001628072,4485.107876407514,1034.0135734136627,42.9769772082051,5345.742839850099,0.0434671871297394,0.0316324639445275,118.38941478062968,25,0.0788107845893991,-0.0015854098135107,0,False,2459934.736427199,1.14942996252,-4.4344138837210725,90.0,87.99181097258897,15.985319925808117,,%,,,,False,%,,,
61,61,1,1,0.6922149658203125,436.8945110406772,44.05223608073761,17107.488581121394,436.9835939934564,44.09563839148174,20589.534183387677,0.0402200588830572,0.0298133958491673,409.22341585164185,25,0.0783498553005794,0.003087177970562,8,False,2459934.736427199,1.14942996252,-5.898510029581939,90.0,88.24197983747815,15.982979968477693,,%,,,,False,%,,,
62,62,1,1,0.23199462890625,820.2125936400739,43.9038469544612,1902.6980666802983,820.4703053888834,43.83663199488631,2274.214534639931,0.078047024236236,0.0614872071005216,92.45163144790725,25,0.1598318385606827,0.008474907581339,8,False,2459934.736427199,1.14942996252,-3.506472303419476,90.0,88.08128955266235,15.984331096494971,,%,,,,False,%,,,
63,63,1,1,1.5258331298828125,850.9323340987607,44.27389172448437,2600.162340528318,851.0352980937406,44.35661513115806,2979.7323732068626,0.0649043738536973,0.0473192403669112,89.2417467941196,25,0.1203927081919614,-0.0035589563719611,0,False,2459934.736427199,1.14942996252,-3.799836874797946,90.0,88.06848023945729,15.98421588968911,,%,,,,False,%,,,
64,64,1,1,0.08892822265625,298.82608061952465,44.77103543421539,3333.29605615072,298.90710742972254,44.70595171580787,3900.120140644625,0.0689757915407129,0.0484511173815036,121.40513168110807,25,0.1178064897470397,0.0092256570128286,0,False,2459934.736427199,1.14942996252,-4.092088689875228,90.0,88.29983444805552,15.982256015835782,,%,,,,False,%,,,
65,65,1,1,0.6898193359375,373.3987270985862,45.28491000169299,2014.781806046029,373.8822926147319,45.41221696744514,2426.13770133818,0.0882530725439857,0.0613237395784789,95.48559260273552,25,0.1471932796943956,0.017011191088954,8,False,2459934.736427199,1.14942996252,-3.576682343072426,90.0,88.26841590235736,15.982233076050264,,%,,,,False,%,,,
66,66,1,1,0.550323486328125,643.6541747471653,44.83206743635428,1995.7324152342997,643.5419872451827,44.71204472537049,2391.9984806622238,0.0829893685188979,0.0728614795873655,106.7095255025874,25,0.1683984046021495,0.0048405735689883,0,False,2459934.736427199,1.14942996252,-3.5612959750602817,90.0,88.15542465721263,15.983418073573569,,%,,,,False,%,,,
67,67,1,1,-0.936767578125,322.7692343239908,45.841479394058815,3281.868845388196,322.7073002355088,45.78894982906861,3823.474939112604,0.0567144335024729,0.0469809875416295,113.44690682698862,25,0.1193667260233963,0.0030227025208913,0,False,2459934.736427199,1.14942996252,-4.070539346301888,90.0,88.28985780367124,15.981903310739701,,%,,,,False,%,,,
68,68,1,1,-0.1420135498046875,466.80375307284834,47.58696585640248,2884.984449289019,466.8166515013287,47.55168512322292,3504.199355351632,0.0701999629690981,0.0512566214278038,118.5360000874784,25,0.1271665922883635,0.0073012154142816,0,False,2459934.736427199,1.14942996252,-3.975865739880915,90.0,88.22946695945734,15.98168916996297,,%,,,,False,%,,,
69,69,1,1,3.343963623046875,600.6674405607556,47.71281341068243,1753.7829314932524,600.3907472124297,47.58117886582903,2052.80783846398,0.1102618291004454,0.0777347998357183,104.0433749991567,25,0.2003262240396368,0.0164075598981984,0,False,2459934.736427199,1.14942996252,-3.3952644697737764,90.0,88.17349639043714,15.982121871118249,,%,,,,False,%,,,
70,70,1,1,-1.8013763427734375,170.05229232189066,48.59440801520898,2981.359977307977,170.2479528535015,48.49838748701818,3545.058327687901,0.0628324798925439,0.0449340010777484,103.17722161054373,25,0.1273176402357763,0.0097698431715167,0,False,2459934.736427199,1.14942996252,-3.9884521892223943,90.0,88.35373031855208,15.980269038384447,,%,,,,False,%,,,
71,71,1,1,0.6112213134765625,532.7162686690278,48.75014164186466,9110.148601545496,532.6851110375316,48.69148330383186,10947.10639498326,0.0380392759119332,0.0319018500452819,220.25119624368875,25,0.0771167485884302,0.0056183190534232,0,False,2459934.736427199,1.14942996252,-5.212642073939492,90.0,88.20186274226528,15.981451107925524,,%,,,,False,%,,,
72,72,1,1,-1.2249298095703125,193.96263662827343,51.26291136091351,2543.2329456879274,194.13981320470936,51.3754138042958,2949.3167353881345,0.0611919772061125,0.0446128079631123,83.94602565607437,25,0.1123611164111893,0.0052810342682727,0,False,2459934.736427199,1.14942996252,-3.7886972642958834,90.0,88.34370862095278,15.979196532849047,,%,,,,False,%,,,
73,73,1,1,2.0506591796875,3.924376955141807,52.85402728675126,2572.866954668872,4.036355123955401,52.8169386768396,3098.69816036073,0.0640464591196787,0.0453446518110818,94.82306414466052,25,0.1133417568771623,0.0146782931447159,8,False,2459934.736427199,1.14942996252,-3.8423419121805527,90.0,88.42335713836864,15.977916208998787,,%,,,,False,%,,,
74,74,1,1,2.30828857421875,14.87451637937463,52.87587959376496,16795.6772428512,14.958643174687111,52.84920432903612,20510.739898643053,0.0530912047831705,0.0361012877960123,508.4909417235506,25,0.1021629711024352,0.0090254925819236,8,False,2459934.736427199,1.14942996252,-5.894347044570521,90.0,88.41878058510105,15.977944206607587,,%,,,,False,%,,,
75,75,1,1,-0.344329833984375,372.7797716135427,55.21032615721381,5716.877097789759,372.7434082345368,55.28453921488988,6669.827366486642,0.0476219050131136,0.0417211432917259,165.6114551592008,25,0.0856544419735007,0.0076224196338207,0,False,2459934.736427199,1.14942996252,-4.674680209711614,90.0,88.2688576382173,15.978252646701446,,%,,,,False,%,,,
76,76,1,1,3.724639892578125,37.50394278610707,56.14719619518409,1473.429493475133,37.18680847894506,56.27719557712406,1626.707182348655,0.1691229611942185,0.1143489459734939,111.56934093185065,25,0.255256617119017,0.02212005436158,8,False,2459934.736427199,1.14942996252,-3.142667186901304,90.0,88.40945371138058,15.97664658909593,,%,,,,False,%,,,
77,77,1,1,0.250030517578125,74.78900360448068,55.83388926643301,25244.49736978405,74.82310239411292,55.80918296837794,29951.713298354225,0.0510324169912533,0.0372173600434037,721.8654211206572,25,0.0995196880069916,0.0080665728883163,0,False,2459934.736427199,1.14942996252,-6.305447901290085,90.0,88.39368596834507,15.976974933886476,,%,,,,False,%,,,
78,78,1,1,0.905181884765625,529.2047013729948,55.77368975005268,2619.4700209433013,529.5406992768641,55.76684048978908,2971.712789195469,0.041546413230975,0.0361391859817351,67.06116818492679,25,0.0899933911469382,0.0030696807410586,0,False,2459934.736427199,1.14942996252,-3.796910809702591,90.0,88.20315581475846,15.978590725196332,,%,,,,False,%,,,
